timestamp,x,y,z,label,stage,hand
1582032840035,0.07,-0.07,0.07,0.0,0,0
1582032840134,0.14,-0.07,0.07,0.0,0,0
1582032840235,0.07,-0.07,0.07,0.0,0,0
1582032840335,0.07,-0.07,0.07,0.0,0,0
1582032840435,0.14,-0.07,0.07,0.0,0,0
1582032840535,0.14,-0.07,-0.07,0.0,0,0
1582032840636,0.14,-0.07,-0.07,0.0,0,0
1582032840735,0.07,-0.14,0.14,0.0,0,0
1582032840835,0.14,-0.07,0.07,0.0,0,0
1582032840936,0.28,-0.14,0.07,0.0,0,0
1582032841035,0.28,-0.07,0.07,0.0,0,0
1582032841125,0.14,-0.07,0.07,0.0,0,0
1582032841225,0.07,-0.14,0.07,0.0,0,0
1582032841325,0.07,-0.07,0.07,0.0,0,0
1582032841425,0.07,-0.07,0.07,0.0,0,0
1582032841526,0.14,-0.07,0.07,0.0,0,0
1582032841625,0.07,-0.07,0.07,0.0,0,0
1582032841725,0.07,-0.07,0.07,0.0,0,0
1582032841826,0.14,-0.07,0.07,0.0,0,0
1582032841925,0.14,-0.07,0.07,0.0,0,0
1582032842025,0.07,-0.07,0.07,0.0,0,0
1582032842126,0.07,-0.07,0.07,0.0,0,0
1582032842227,0.07,-0.07,0.07,0.0,0,0
1582032842326,0.07,0.07,0.14,0.0,0,0
1582032842426,0.07,-0.07,0.07,0.0,0,0
1582032842526,0.07,-0.07,-0.07,0.0,0,0
1582032842626,0.07,-0.07,0.14,0.0,0,0
1582032842727,0.21,-0.07,0.07,0.0,0,0
1582032842826,0.07,-0.07,0.21,0.0,0,0
1582032842928,-0.14,0.07,0.07,0.0,0,0
1582032843027,0.07,-0.07,0.07,0.0,0,0
1582032843126,0.07,0.07,0.07,0.0,0,0
1582032843226,0.07,-0.07,0.28,0.0,0,0
1582032843327,0.07,-0.07,0.28,0.0,0,0
1582032843427,0.07,-0.07,0.07,0.0,0,0
1582032843527,0.21,-0.07,0.14,0.0,0,0
1582032843629,0.21,-0.07,0.14,0.0,0,0
1582032843727,0.21,-0.07,-0.07,0.0,0,0
1582032843827,0.07,0.07,0.14,0.0,0,0
1582032843927,0.07,0.07,0.14,0.0,0,0
1582032844027,0.07,-0.07,0.07,0.0,0,0
1582032844137,0.21,-0.07,0.07,0.0,0,0
1582032844238,0.14,-0.07,0.07,0.0,0,0
1582032844337,-0.07,-0.14,0.14,0.0,0,0
1582032844437,-0.14,-0.14,0.07,0.0,0,0
1582032844538,0.14,-0.07,-0.07,0.0,0,0
1582032844639,0.14,-0.07,-0.07,0.0,0,0
1582032844737,0.14,-0.07,-0.07,0.0,0,0
1582032844838,0.14,-0.07,-0.07,0.0,0,0
1582032844938,0.07,-0.07,0.07,0.0,0,0
1582032845038,0.07,-0.07,-0.07,0.0,0,0
1582032845139,0.07,-0.07,-0.07,0.0,0,0
1582032845238,0.14,-0.07,0.14,0.0,0,0
1582032845338,-0.07,0.07,0.07,0.0,0,0
1582032845439,-0.07,0.07,0.07,0.0,0,0
1582032845538,0.07,0.07,0.07,0.0,0,0
1582032845638,0.07,-0.07,0.14,0.0,0,0
1582032845739,0.21,-0.07,0.07,0.0,0,0
1582032845838,0.07,-0.07,0.07,0.0,0,0
1582032845940,0.14,-0.07,-0.14,0.0,0,0
1582032846039,0.14,-0.07,-0.07,0.0,0,0
1582032846128,0.14,-0.07,-0.07,0.0,0,0
