timestamp,hrv,label,stage,hand
1582033614300,0.0,0.0,3,0
1582033615300,0.0,0.0,3,0
1582033616303,0.0,0.0,3,0
1582033617302,0.0,0.0,3,0
1582033618304,0.0,0.0,3,0
1582033619314,0.0,0.0,3,0
1582033620314,0.0,0.0,3,0
1582033621304,0.0,0.0,3,0
1582033622306,0.0,0.0,3,0
1582033623311,0.0,0.0,3,0
1582033624317,0.0,0.0,3,0
1582033625318,0.0,0.0,3,0
1582033626308,0.0,0.0,3,0
1582033627308,0.0,0.0,3,0
1582033628321,0.0,0.0,3,0
1582033629320,0.0,0.0,3,0
1582033630321,110.0,0.0,3,0
1582033631322,110.0,0.0,3,0
1582033632322,109.0,0.0,3,0
1582033633323,109.0,0.0,3,0
1582033634324,109.0,0.0,3,0
1582033635324,109.0,0.0,3,0
1582033636315,108.0,0.0,3,0
1582033637316,108.0,0.0,3,0
1582033638318,108.0,0.0,3,0
1582033639317,108.0,0.0,3,0
1582033640328,107.0,0.0,3,0
1582033641318,107.0,0.0,3,0
1582033642318,107.0,0.0,3,0
1582033643320,108.0,0.0,3,0
1582033644320,109.0,0.0,3,0
1582033645331,110.0,0.0,3,0
1582033646322,111.0,0.0,3,0
1582033647322,111.0,0.0,3,0
1582033648334,110.0,0.0,3,0
1582033649334,109.0,0.0,3,0
1582033650335,108.0,0.0,3,0
1582033651325,108.0,0.0,3,0
1582033652326,109.0,0.0,3,0
1582033653339,110.0,1.0,3,d
1582033654337,111.0,1.0,3,d
1582033655338,111.0,1.0,3,d
1582033656328,110.0,1.0,3,d
1582033657329,110.0,1.0,3,d
1582033658341,108.0,1.0,3,d
1582033659340,108.0,0.0,3,0
1582033660341,109.0,0.0,3,0
1582033661332,110.0,0.0,3,0
1582033662332,111.0,0.0,3,0
1582033663343,112.0,0.0,3,0
1582033664344,112.0,0.0,3,0
1582033665344,111.0,0.0,3,0
1582033666335,111.0,0.0,3,0
1582033667336,110.0,0.0,3,0
1582033668337,109.0,0.0,3,0
1582033669337,109.0,0.0,3,0
1582033670348,108.0,0.0,3,0
1582033671338,108.0,0.0,3,0
1582033672339,108.0,0.0,3,0
1582033673340,109.0,0.0,3,0
1582033674340,109.0,0.0,3,0
1582033675341,110.0,0.0,3,0
1582033676342,110.0,0.0,3,0
1582033677342,110.0,0.0,3,0
1582033678344,111.0,0.0,3,0
1582033679354,112.0,0.0,3,0
1582033680354,113.0,0.0,3,0
1582033681345,113.0,0.0,3,0
1582033682346,113.0,0.0,3,0
1582033683347,112.0,0.0,3,0
1582033684348,112.0,0.0,3,0
1582033685358,111.0,0.0,3,0
1582033686348,110.0,0.0,3,0
1582033687349,110.0,0.0,3,0
1582033688361,110.0,0.0,3,0
1582033689350,111.0,0.0,3,0
