timestamp,x,y,z,label,stage,hand
1581952270666,2.31,-1.12,0.98,0,1,0
1581952270764,5.46,-1.4,2.45,0,1,0
1581952270864,-3.99,-1.75,0.14,0,1,0
1581952270965,0.49,-1.33,1.47,0,1,0
1581952271065,-2.52,-1.12,-2.87,0,1,0
1581952271166,0.35,-1.96,0.91,0,1,0
1581952271265,-1.12,-1.33,0.98,0,1,0
1581952271377,0.7,-1.61,0.28,0,1,0
1581952271465,1.12,-1.26,0.77,0,1,0
1581952271566,-3.08,-1.47,1.05,0,1,0
1581952271665,-7.77,-3.57,1.4,0,1,0
1581952271765,-10.92,-14.84,11.9,0,1,0
1581952271865,-20.23,-23.450001,44.380001,0,1,0
1581952271965,13.09,-13.09,67.410004,0,1,0
1581952272065,-5.39,6.44,81.83000200000002,0,1,0
1581952272165,1.05,18.549999,82.809998,0,1,0
1581952272266,-37.59,-2.52,70.489998,0,1,0
1581952272366,-39.830002,-12.32,38.150002,0,1,0
1581952272465,-38.990002,0.56,15.4,0,1,0
1581952272566,-14.28,0.84,3.78,0,1,0
1581952272665,-24.780001,-10.85,-13.93,0,1,0
1581952272766,-87.150002,-16.450001,-13.93,0,1,0
1581952272866,-41.02,17.01,-22.469999,0,1,0
1581952272966,30.52,8.47,-17.360001,0,1,0
1581952273066,22.33,12.04,-18.9,0,1,0
1581952273166,18.969999,-1.75,-5.53,0,1,0
1581952273266,-17.780001000000006,1.12,4.76,0,1,0
1581952273371,-12.6,3.64,1.54,0,1,0
1581952273466,-1.54,2.17,0.7,0,1,0
1581952273566,-9.66,0.7,1.33,0,1,0
1581952273666,0.49,-0.42,0.56,0,1,0
1581952273768,9.52,-4.2,2.59,0,1,0
1581952273871,11.27,-4.34,-1.33,0,1,0
1581952273968,3.57,-3.22,0.35,0,1,0
1581952274068,-1.68,-0.84,0.7,0,1,0
1581952274167,3.57,-0.84,0.63,0,1,0
1581952274269,0.35,-1.05,1.75,0,1,0
1581952274367,2.52,-1.96,0.77,0,1,0
1581952274466,0.91,-1.68,0.84,0,1,0
1581952274567,0.21,-1.47,0.49,0,1,0
1581952274667,0.28,-1.82,0.35,0,1,0
1581952274769,1.89,-1.61,0.63,0,1,0
1581952274867,4.27,-1.82,0.63,0,1,0
1581952274968,1.33,-1.61,0.7,0,1,0
1581952275068,2.66,-1.61,0.35,0,1,0
1581952275167,6.16,-2.03,-0.28,0,1,0
1581952275267,9.17,-4.13,-0.63,0,1,0
1581952275367,15.05,-5.18,-0.77,0,1,0
1581952275466,8.05,-3.15,0.07,0,1,0
1581952275566,58.939999,-13.3,-1.75,0,1,0
1581952275666,38.43,-16.17,-4.55,0,1,0
1581952275767,15.54,-5.04,-2.94,0,1,0
1581952275867,7.0,-1.33,-2.31,0,1,0
1581952275967,-3.78,-0.07,-0.91,0,1,0
1581952276067,-3.99,0.07,0.91,0,1,0
1581952276167,-9.45,1.05,1.61,0,1,0
1581952276267,-1.33,-1.12,0.77,0,1,0
1581952276368,-2.31,-0.84,1.12,0,1,0
1581952276466,-1.68,-1.33,0.56,0,1,0
1581952276567,-2.31,-1.4,0.91,0,1,0
1581952276667,-2.31,-0.42,1.26,0,1,0
1581952276772,-2.38,-1.19,0.91,0,1,0
1581952276869,-0.77,-0.77,0.7,0,1,0
1581952276969,-5.11,0.07,2.17,0,1,0
1581952277069,-0.98,-1.4,1.61,0,1,0
1581952277169,-0.42,-1.82,0.98,0,1,0
1581952277269,-0.56,-0.84,0.7,0,1,0
1581952277369,-4.83,-0.07,1.47,0,1,0
1581952277468,-14.21,1.82,1.33,0,1,0
1581952277569,2.87,-1.68,0.63,0,1,0
1581952277669,1.4,-1.68,0.7,0,1,0
1581952277769,0.21,-1.19,0.7,0,1,0
1581952277869,0.7,-1.82,0.7,0,1,0
1581952277969,2.52,-1.54,0.42,0,1,0
1581952278069,0.42,-1.26,0.91,0,1,0
1581952278169,1.4,-1.54,0.63,0,1,0
1581952278270,-1.82,-1.19,0.56,0,1,0
1581952278369,-2.31,-1.19,0.49,0,1,0
1581952278468,2.1,-1.82,0.84,0,1,0
1581952278570,-4.41,-0.98,0.91,0,1,0
1581952278669,-11.06,0.49,2.52,0,1,0
1581952278770,1.47,-1.54,0.42,0,1,0
1581952278870,0.14,-1.47,1.05,0,1,0
1581952278969,1.75,-1.75,0.63,0,1,0
1581952279069,3.5,-1.68,0.35,0,1,0
1581952279171,2.73,-1.89,0.84,0,1,0
1581952279270,-0.21,-1.68,0.7,0,1,0
1581952279370,0.98,-1.4,0.77,0,1,0
1581952279471,3.15,-2.03,0.77,0,1,0
1581952279572,-1.05,-1.19,0.77,0,1,0
1581952279671,1.26,-1.61,0.84,0,1,0
1581952279772,0.84,-1.47,0.56,0,1,0
1581952279872,11.48,-2.66,1.05,0,1,0
1581952279972,0.56,-1.19,1.47,0,1,0
1581952280072,1.19,-1.4,0.77,0,1,0
1581952280172,3.5,-1.75,1.19,0,1,0
1581952280272,3.92,-2.24,-0.28,0,1,0
1581952280371,-0.21,-1.47,0.49,0,1,0
1581952280470,1.54,-1.68,0.7,0,1,0
1581952280571,3.22,-1.96,0.42,0,1,0
1581952280671,0.21,-1.82,0.77,0,1,0
1581952280771,-1.54,-1.19,0.7,0,1,0
1581952280871,2.59,-0.91,0.84,0,1,0
1581952280971,-1.54,-1.12,0.63,0,1,0
1581952281071,1.33,-1.26,0.84,0,1,0
1581952281171,-1.89,-1.05,0.91,0,1,0
1581952281271,1.47,-1.4,0.91,0,1,0
1581952281371,1.12,-1.89,0.63,0,1,0
1581952281471,2.66,-1.75,0.49,0,1,0
1581952281572,1.47,-1.61,0.49,0,1,0
1581952281672,1.26,-0.91,0.98,0,1,0
1581952281771,-2.24,-0.98,0.7,0,1,0
1581952281871,-0.49,-0.98,0.84,0,1,0
1581952281971,2.03,-1.47,0.63,0,1,0
1581952282071,0.49,-1.19,0.63,0,1,0
1581952282172,-0.07,-1.4,0.91,0,1,0
1581952282272,2.31,-1.61,0.77,0,1,0
1581952282373,0.14,-1.75,0.49,0,1,0
1581952282471,-0.7,-1.54,0.77,0,1,0
1581952282661,1.05,-1.12,0.7,0,1,0
1581952282675,1.54,-1.68,1.05,0,1,0
1581952282787,3.22,-1.54,0.56,0,1,0
1581952282873,1.96,-1.61,0.63,0,1,0
1581952282974,0.49,-1.33,1.12,0,1,0
1581952283073,0.42,-1.54,0.7,0,1,0
1581952283174,2.66,-1.47,0.63,0,1,0
1581952283273,2.59,-1.47,0.84,0,1,0
1581952283373,-0.49,-1.61,0.63,0,1,0
1581952283472,0.63,-1.12,0.49,0,1,0
1581952283573,1.47,-1.54,0.7,0,1,0
1581952283673,0.28,-1.47,0.91,0,1,0
1581952283773,3.01,-1.26,0.56,0,1,0
1581952283872,2.38,-1.47,0.7,0,1,0
1581952283972,0.07,-1.54,0.63,0,1,0
1581952284072,-0.56,-1.61,0.63,0,1,0
1581952284171,1.4,-1.33,0.49,0,1,0
1581952284278,1.4,-1.19,0.63,0,1,0
1581952284375,0.77,-1.54,0.7,0,1,0
1581952284473,1.26,-1.68,0.77,0,1,0
1581952284572,2.38,-1.33,0.7,0,1,0
1581952284672,1.12,-1.47,0.7,0,1,0
1581952284772,2.73,-1.68,0.63,0,1,0
1581952284872,1.68,-1.05,0.84,0,1,0
1581952284972,1.82,-1.47,0.56,0,1,0
1581952285072,0.07,-1.54,0.77,0,1,0
1581952285172,0.14,-1.19,1.26,0,1,0
1581952285272,-0.14,-0.98,1.19,0,1,0
1581952285372,2.17,-1.75,0.63,0,1,0
1581952285472,1.96,-1.75,0.63,0,1,0
1581952285572,2.38,-1.68,1.05,0,1,0
1581952285672,2.03,-1.82,0.63,0,1,0
1581952285772,-0.14,-1.54,0.63,0,1,0
1581952285872,1.4,-1.4,0.77,0,1,0
1581952285972,1.19,-1.4,0.77,0,1,0
1581952286073,1.19,-1.26,0.7,0,1,0
1581952286172,1.19,-1.33,0.56,0,1,0
1581952286273,1.12,-1.68,0.56,0,1,0
1581952286373,0.7,-1.75,0.14,0,1,0
1581952286473,2.73,-1.47,0.63,0,1,0
1581952286573,1.05,-1.47,0.91,0,1,0
1581952286673,0.14,-1.26,0.84,0,1,0
1581952286773,0.42,-1.05,0.77,0,1,0
1581952286873,0.42,-1.75,0.56,0,1,0
1581952286974,1.75,-1.61,0.77,0,1,0
1581952287073,1.19,-1.47,0.84,0,1,0
1581952287253,1.33,-1.68,0.56,0,1,0
1581952287273,1.19,-1.61,0.84,0,1,0
1581952287375,1.96,-1.4,0.84,0,1,0
1581952287475,0.56,-1.54,0.7,0,1,0
1581952287574,-0.56,-1.12,0.7,0,1,0
1581952287674,2.31,-1.68,0.84,0,1,0
1581952287774,1.4,-1.61,0.63,0,1,0
1581952287874,1.61,-1.19,0.63,0,1,0
1581952287974,0.98,-1.33,0.84,0,1,0
1581952288074,1.05,-1.47,0.7,0,1,0
1581952288174,2.31,-1.54,0.63,0,1,0
1581952288274,1.05,-1.61,0.84,0,1,0
1581952288375,1.33,-1.61,0.63,0,1,0
1581952288474,1.33,-1.47,0.77,0,1,0
1581952288574,1.05,-1.54,0.49,0,1,0
1581952288674,0.77,-1.33,0.77,0,1,0
1581952288775,0.21,-1.12,0.7,0,1,0
1581952288874,1.82,-1.68,0.77,0,1,0
1581952288974,-0.14,-2.03,0.28,0,1,0
1581952289075,-3.15,-2.24,0.7,0,1,0
1581952289175,-11.76,-1.33,0.7,0,1,0
1581952289275,4.06,-0.98,1.89,0,1,0
1581952289376,6.37,-1.68,-0.28,0,1,0
1581952289475,-8.61,0.98,1.89,0,1,0
1581952289575,-2.45,-0.21,3.08,0,1,0
1581952289676,-1.54,-0.21,3.01,0,1,0
1581952289776,-4.76,-0.21,1.89,0,1,0
1581952289876,-15.47,-0.07,0.28,0,1,0
1581952289978,10.36,-3.01,0.42,0,1,0
1581952290076,-2.59,-1.96,5.6,0,1,0
1581952290176,-6.79,1.82,-1.12,0,1,0
1581952290278,4.62,0.56,-1.96,0,1,0
1581952290377,7.35,-5.25,-2.8,0,1,0
1581952290477,9.45,-2.94,-4.27,0,1,0
1581952290577,4.83,-2.52,-3.08,0,1,0
1581952290677,-4.13,0.21,1.26,0,1,0
1581952290778,-6.79,-0.56,2.24,0,1,0
1581952290878,-20.65,1.4,2.38,0,1,0
1581952290977,-32.759998,2.1,1.12,0,1,0
1581952291077,1.75,-0.07,0.91,0,1,0
1581952291178,-3.43,-1.68,0.84,0,1,0
1581952291278,-0.42,-1.89,0.21,0,1,0
1581952291377,3.36,-1.89,0.42,0,1,0
1581952291478,0.56,-1.54,0.7,0,1,0
1581952291578,-3.01,-1.75,1.12,0,1,0
1581952291678,4.27,-1.19,0.07,0,1,0
1581952291778,0.63,-0.21,1.33,0,1,0
1581952291879,-0.84,-0.56,1.82,0,1,0
1581952291979,3.99,-1.54,0.56,0,1,0
1581952292080,2.52,-1.33,0.91,0,1,0
1581952292179,3.01,-1.54,0.42,0,1,0
1581952292280,0.49,-1.12,1.19,0,1,0
1581952292380,1.19,-1.61,0.7,0,1,0
1581952292480,2.03,-1.89,0.56,0,1,0
1581952292579,3.64,-1.4,0.56,0,1,0
1581952292679,1.4,-1.54,0.56,0,1,0
1581952292779,1.82,-1.82,0.63,0,1,0
1581952292879,1.47,-1.54,0.84,0,1,0
1581952292979,2.03,-1.61,0.98,0,1,0
1581952293079,0.56,-1.4,0.77,0,1,0
1581952293179,0.98,-1.26,0.77,0,1,0
1581952293281,1.19,-1.47,0.7,0,1,0
1581952293379,1.54,-1.75,0.56,0,1,0
1581952293479,1.47,-1.61,0.77,0,1,0
1581952293579,-0.77,-1.54,0.77,0,1,0
1581952293680,0.35,-1.82,1.05,0,1,0
1581952293779,2.8,-1.4,0.84,0,1,0
1581952293879,3.08,-1.54,0.7,0,1,0
1581952293979,0.77,-1.68,0.84,0,1,0
1581952294079,1.19,-1.4,1.33,0,1,0
1581952294179,0.84,-1.47,0.91,0,1,0
1581952294280,1.82,-1.54,0.91,0,1,0
1581952294380,3.64,-1.61,0.63,0,1,0
1581952294479,1.96,-1.61,0.56,0,1,0
1581952294578,1.68,-1.54,0.98,0,1,0
1581952294679,2.31,-1.12,0.56,0,1,0
1581952294779,0.7,-1.4,0.84,0,1,0
1581952294879,1.61,-1.26,0.7,0,1,0
1581952294979,1.12,-1.54,0.77,0,1,0
1581952295079,1.33,-1.26,0.49,0,1,0
1581952295179,2.38,-1.68,0.98,0,1,0
1581952295279,1.61,-1.61,0.49,0,1,0
1581952295379,0.7,-1.54,0.56,0,1,0
1581952295479,3.08,-1.61,0.77,0,1,0
1581952295579,0.98,-1.33,0.77,0,1,0
1581952295679,0.42,-1.26,0.77,0,1,0
1581952295779,1.4,-1.4,0.77,0,1,0
1581952295879,0.35,-1.4,0.84,0,1,0
1581952295981,0.14,-1.33,0.98,0,1,0
1581952296079,1.61,-1.54,0.77,0,1,0
1581952296179,-0.49,-1.47,1.12,0,1,0
1581952296280,0.98,-1.47,0.84,0,1,0
1581952296380,1.05,-1.61,0.84,0,1,0
1581952296479,4.13,-1.47,0.7,0,1,0
1581952296580,4.13,-1.54,0.98,0,1,0
1581952296680,1.26,-1.61,0.7,0,1,0
1581952296780,2.24,-1.68,0.7,0,1,0
1581952296880,2.31,-1.54,0.49,0,1,0
1581952296980,0.28,-2.03,0.7,0,1,0
1581952297080,0.91,-1.68,0.63,0,1,0
1581952297183,2.8,-1.47,0.56,0,1,0
1581952297280,1.19,-1.54,0.77,0,1,0
1581952297380,1.47,-1.47,0.7,0,1,0
1581952297480,0.42,-1.61,0.91,0,1,0
1581952297580,1.54,-2.03,0.63,0,1,0
1581952297680,1.12,-1.61,0.77,0,1,0
1581952297780,1.82,-1.54,0.56,0,1,0
1581952297880,1.12,-1.54,0.77,0,1,0
1581952297981,0.14,-1.47,1.19,0,1,0
1581952298081,1.61,-1.4,0.77,0,1,0
1581952298181,0.56,-1.33,0.42,0,1,0
1581952298281,1.82,-1.54,0.84,0,1,0
1581952298381,1.33,-1.61,0.63,0,1,0
1581952298481,1.19,-1.68,0.56,0,1,0
1581952298581,0.56,-1.54,0.77,0,1,0
1581952298681,1.26,-1.19,0.84,0,1,0
1581952298781,-0.21,-1.26,0.77,0,1,0
1581952298881,0.28,-1.47,0.91,0,1,0
1581952298981,1.82,-1.54,0.28,0,1,0
1581952299081,2.52,-1.54,0.35,0,1,0
1581952299181,-3.29,-1.54,1.26,0,1,0
1581952299281,-3.29,-1.05,1.26,0,1,0
1581952299382,4.13,-1.19,0.7,0,1,0
1581952299481,3.5,-1.54,0.56,0,1,0
1581952299582,4.48,-1.33,0.98,0,1,0
1581952299682,3.64,-1.61,0.49,0,1,0
1581952299782,1.75,-1.96,0.91,0,1,0
1581952299882,1.19,-0.84,2.24,0,1,0
1581952299982,4.76,-1.4,0.7,0,1,0
1581952300082,2.24,-2.24,0.42,0,1,0
1581952300182,0.28,-1.82,0.35,0,1,0
1581952300282,-0.91,-1.75,0.63,0,1,0
1581952300384,3.36,-1.54,0.7,0,1,0
1581952300483,1.68,-1.82,0.91,0,1,0
1581952300582,1.96,-1.61,0.49,0,1,0
1581952300682,-0.63,-1.68,0.49,0,1,0
1581952300783,1.61,-1.4,0.49,0,1,0
1581952300883,1.19,-1.47,0.7,0,1,0
1581952300982,1.26,-1.33,0.84,0,1,0
1581952301083,1.19,-1.68,0.7,0,1,0
1581952301183,2.03,-1.61,0.63,0,1,0
1581952301283,2.38,-1.75,1.12,0,1,0
1581952301383,1.61,-1.47,0.63,0,1,0
1581952301483,2.73,-1.54,0.77,0,1,0
1581952301583,1.47,-1.4,0.7,0,1,0
1581952301683,1.89,-1.4,0.63,0,1,0
1581952301783,2.17,-1.54,0.84,0,1,0
1581952301883,1.96,-1.82,0.35,0,1,0
1581952301983,2.38,-1.89,0.49,0,1,0
1581952302083,1.33,-1.61,0.63,0,1,0
1581952302183,2.52,-1.54,0.63,0,1,0
1581952302284,-0.42,-1.4,0.63,0,1,0
1581952302384,1.82,-1.4,0.84,0,1,0
1581952302483,0.21,-1.75,0.84,0,1,0
1581952302584,3.92,-1.33,0.84,0,1,0
1581952302684,1.96,-1.54,0.7,0,1,0
1581952302784,1.96,-1.61,0.7,0,1,0
1581952302884,2.66,-1.4,0.77,0,1,0
1581952302984,1.47,-1.26,0.84,0,1,0
1581952303084,0.7,-1.33,0.91,0,1,0
1581952303184,1.89,-1.33,0.77,0,1,0
1581952303284,1.96,-1.68,0.84,0,1,0
1581952303385,0.49,-1.33,0.84,0,1,0
1581952303485,1.05,-1.19,0.84,0,1,0
1581952303585,0.77,-1.47,0.84,0,1,0
1581952303685,1.12,-1.26,1.05,0,1,0
1581952303785,1.4,-1.47,0.91,0,1,0
1581952303885,2.66,-1.82,0.28,0,1,0
1581952303985,3.08,-1.54,0.63,0,1,0
1581952304085,-0.21,-1.4,0.77,0,1,0
1581952304185,0.7,-1.61,0.84,0,1,0
1581952304285,-0.28,-1.26,0.7,0,1,0
1581952304385,2.17,-1.47,0.56,0,1,0
1581952304485,2.03,-1.75,0.42,0,1,0
1581952304585,1.19,-1.68,0.77,0,1,0
1581952304685,1.54,-1.47,0.98,0,1,0
1581952304786,1.26,-1.26,0.77,0,1,0
1581952304885,-0.14,-1.54,0.91,0,1,0
1581952304986,2.38,-1.47,-0.28,0,1,0
1581952305087,1.12,-1.54,0.49,0,1,0
1581952305187,-0.35,-1.75,0.21,0,1,0
1581952305287,1.19,-1.54,0.77,0,1,0
1581952305386,1.19,-1.4,0.77,0,1,0
1581952305486,0.42,-1.19,0.7,0,1,0
1581952305587,-0.7,-1.26,0.63,0,1,0
1581952305686,0.42,-1.12,0.42,0,1,0
1581952305786,1.33,-1.47,0.28,0,1,0
1581952305886,0.49,-1.19,0.63,0,1,0
1581952305986,0.28,-1.19,0.35,0,1,0
1581952306179,0.28,-1.47,0.49,0,1,0
1581952306188,0.21,-1.4,1.26,0,1,0
1581952306288,1.26,-1.26,0.98,0,1,0
1581952306388,1.61,-1.54,0.63,0,1,0
1581952306487,0.49,-1.26,0.98,0,1,0
1581952306586,-0.07,-1.33,1.54,0,1,0
1581952306687,1.33,-1.47,1.47,0,1,0
1581952306788,1.05,-1.75,1.12,0,1,0
1581952306887,-0.14,-1.47,0.91,0,1,0
1581952306987,1.33,-1.68,0.7,0,1,0
1581952307087,2.45,-1.75,0.56,0,1,0
1581952307191,1.47,-1.68,0.63,0,1,0
1581952307287,1.12,-1.47,0.56,0,1,0
1581952307387,1.96,-1.54,0.77,0,1,0
1581952307487,1.47,-1.61,0.84,0,1,0
1581952307587,0.98,-1.47,0.56,0,1,0
1581952307687,0.35,-1.47,0.77,0,1,0
1581952307788,1.05,-1.47,0.7,0,1,0
1581952307887,1.12,-1.47,0.56,0,1,0
1581952307987,0.91,-1.54,0.7,0,1,0
1581952308087,1.26,-1.4,0.49,0,1,0
1581952308187,0.84,-0.07,0.07,0,1,0
1581952308293,0.56,-0.28,0.07,0,1,0
1581952308388,0.35,-0.14,-0.07,0,1,0
1581952308488,0.35,-0.28,0.21,0,1,0
1581952308588,0.63,-0.07,0.21,0,1,0
1581952308688,0.28,-0.14,-0.21,0,1,0
1581952308790,0.21,0.21,0.14,0,1,0
1581952308888,0.49,-0.14,0.14,0,1,0
1581952308988,0.35,-0.07,0.14,0,1,0
1581952309088,0.42,-0.14,-0.07,0,1,0
1581952309189,-1.68,-0.21,0.07,0,1,0
1581952309288,0.14,-0.14,0.07,0,1,0
1581952309388,-0.35,-0.14,0.07,0,1,0
1581952309489,-0.42,-0.07,0.14,0,1,0
1581952309588,-0.42,0.21,0.21,0,1,0
1581952309688,0.28,0.21,0.28,0,1,0
1581952309789,-0.21,0.21,0.28,0,1,0
1581952309889,0.07,-0.28,0.21,0,1,0
1581952309989,-1.26,-0.21,0.14,0,1,0
1581952310089,0.63,-0.21,0.14,0,1,0
