timestamp,ppg,label,stage,hand
1582540360921,2862801,0,5,0
1582540360922,2871137,0,5,0
1582540361002,2875394,0,5,0
1582540361101,2890470,0,5,0
1582540361200,2897172,0,5,0
1582540361301,2897847,0,5,0
1582540361401,2896079,0,5,0
1582540361500,2897221,0,5,0
1582540361600,2905469,0,5,0
1582540361701,2910565,0,5,0
1582540361801,2915236,0,5,0
1582540361901,2918681,0,5,0
1582540362000,2919052,0,5,0
1582540362101,2918061,0,5,0
1582540362201,2922366,0,5,0
1582540362301,2929704,0,5,0
1582540362401,2930041,0,5,0
1582540362502,2929247,0,5,0
1582540362601,2928696,0,5,0
1582540362702,2929861,0,5,0
1582540362801,2933226,0,5,0
1582540362901,3026981,0,5,0
1582540363001,2945649,0,5,0
1582540363092,2941347,0,5,0
1582540363192,2947664,0,5,0
1582540363291,3004844,0,5,0
1582540363391,2955232,0,5,0
1582540363491,2958110,0,5,0
1582540363611,2957446,0,5,0
1582540363705,2959178,0,5,0
1582540363794,3062998,0,5,0
1582540363892,3034889,0,5,0
1582540363992,2972813,0,5,0
1582540364095,2976443,0,5,0
1582540364194,2967057,0,5,0
1582540364295,2968621,0,5,0
1582540364395,2975781,0,5,0
1582540364496,2977804,0,5,0
1582540364594,2980803,0,5,0
1582540364694,2980625,0,5,0
1582540364794,2981294,0,5,0
1582540364895,2981071,0,5,0
1582540364994,2980585,0,5,0
1582540365094,2979116,0,5,0
1582540365196,2976142,0,5,0
1582540365296,2972412,0,5,0
1582540365395,2969006,0,5,0
1582540365495,2965812,0,5,0
1582540365595,2963296,0,5,0
1582540365694,2960171,0,5,0
1582540365797,2957451,0,5,0
1582540365897,2954700,0,5,0
1582540365997,2951775,0,5,0
1582540366096,2947954,0,5,0
1582540366196,2944227,0,5,0
1582540366296,2940748,0,5,0
1582540366397,2937648,0,5,0
1582540366498,2934640,0,5,0
1582540366596,2931720,0,5,0
1582540366697,2928236,0,5,0
1582540366796,2924841,0,5,0
1582540366896,2921671,0,5,0
1582540366998,2918750,0,5,0
1582540367096,2916006,0,5,0
1582540367197,2913746,0,5,0
1582540367297,2910667,0,5,0
1582540367396,2907271,0,5,0
1582540367497,2904647,0,5,0
1582540367597,2902331,0,5,0
1582540367697,2900308,0,5,0
1582540367797,2898794,0,5,0
1582540367898,2896401,0,5,0
1582540367997,2892577,0,5,0
1582540368098,2889163,0,5,0
1582540368198,2886239,0,5,0
1582540368297,2883467,0,5,0
1582540368397,2881841,0,5,0
1582540368498,2880592,0,5,0
1582540368597,2877758,0,5,0
1582540368698,2875015,0,5,0
1582540368798,2873432,0,5,0
1582540368898,2871880,0,5,0
1582540368998,2870705,0,5,0
1582540369131,2870064,0,5,0
1582540369200,2868903,0,5,0
1582540369296,2866091,0,5,0
1582540369397,2864125,0,5,0
1582540369498,2862745,0,5,0
1582540369598,2861494,0,5,0
1582540369699,2860588,0,5,0
1582540369798,2860065,0,5,0
1582540369898,2858009,0,5,0
1582540369998,2855407,0,5,0
1582540370098,2853713,0,5,0
1582540370197,2852781,0,5,0
1582540370297,2851747,0,5,0
1582540370407,2851479,0,5,0
1582540370507,2850893,0,5,0
1582540370608,2848573,0,5,0
1582540370707,2846502,0,5,0
1582540370807,2845434,0,5,0
1582540370908,2844842,0,5,0
1582540371008,2844211,0,5,0
1582540371108,2844242,0,5,0
1582540371208,2843562,0,5,0
1582540371308,2841711,0,5,0
1582540371408,2843741,0,5,0
1582540371508,2846218,0,5,0
1582540371608,2847491,0,5,0
1582540371708,2847833,0,5,0
1582540371808,2847967,0,5,0
1582540371908,2848204,0,5,0
1582540372008,2846759,0,5,0
1582540372109,2845648,0,5,0
1582540372208,2845372,0,5,0
1582540372308,2845394,0,5,0
1582540372408,2845257,0,5,0
1582540372508,2845585,0,5,0
1582540372609,2845495,0,5,0
1582540372709,2843927,0,5,0
1582540372808,2842684,0,5,0
1582540372910,2842623,0,5,0
1582540373009,2842844,0,5,0
1582540373100,2843338,0,5,0
1582540373200,2843923,0,5,0
1582540373299,2844134,0,5,0
1582540373399,2842395,0,5,0
1582540373499,2841662,0,5,0
1582540373599,2840618,0,5,0
1582540373699,2838651,0,5,0
1582540373799,2837222,0,5,0
1582540373900,2836863,0,5,0
1582540373999,2837467,0,5,0
1582540374099,2836652,0,5,0
1582540374200,2835810,0,5,0
1582540374299,2834522,0,5,0
1582540374399,2833451,0,5,0
1582540374500,2832668,0,5,0
1582540374599,2832007,0,5,0
1582540374700,2830933,0,5,0
1582540374800,2829736,0,5,0
1582540374900,2829113,0,5,0
1582540375001,2828147,0,5,0
1582540375101,2827653,0,5,0
1582540375201,2827678,0,5,0
1582540375301,2827383,0,5,0
1582540375401,2826939,0,5,0
1582540375501,2826816,0,5,0
1582540375601,2827069,0,5,0
1582540375701,2827034,0,5,0
1582540375811,2827058,0,5,0
1582540375911,2826697,0,5,0
1582540376011,2825776,0,5,0
1582540376111,2825386,0,5,0
1582540376211,2825449,0,5,0
1582540376311,2825568,0,5,0
1582540376411,2825728,0,5,0
1582540376511,2825510,0,5,0
1582540376611,2824444,0,5,0
1582540376711,2824144,0,5,0
1582540376811,2823965,0,5,0
1582540376912,2824157,0,5,0
1582540377012,2824314,0,5,0
1582540377110,2824376,0,5,0
1582540377210,2823782,0,5,0
1582540377310,2823338,0,5,0
1582540377410,2823903,0,5,0
1582540377511,2823925,0,5,0
1582540377610,2824462,0,5,0
1582540377710,2824557,0,5,0
1582540377811,2824407,0,5,0
1582540377910,2824270,0,5,0
1582540378010,2824583,0,5,0
1582540378111,2824891,0,5,0
1582540378210,2825203,0,5,0
1582540378310,2825701,0,5,0
1582540378411,2826046,0,5,0
1582540378511,2825892,0,5,0
1582540378612,2825967,0,5,0
1582540378712,2826422,0,5,0
1582540378812,2826676,0,5,0
1582540378912,2827099,0,5,0
1582540379012,2827540,0,5,0
1582540379112,2827602,0,5,0
1582540379202,2827690,0,5,0
1582540379302,2828045,0,5,0
1582540379401,2828367,0,5,0
1582540379501,2828713,0,5,0
1582540379601,2829270,0,5,0
1582540379701,2828177,0,5,0
1582540379801,2825937,0,5,0
1582540379903,2827989,0,5,0
1582540380002,2831901,0,5,0
1582540380102,2835343,0,5,0
1582540380202,2838271,0,5,0
1582540380302,2839464,0,5,0
1582540380402,2839908,0,5,0
1582540380504,2839656,0,5,0
1582540380602,2839747,0,5,0
1582540380702,2840490,0,5,0
1582540380803,2841256,0,5,0
1582540380913,2842384,0,5,0
1582540381014,2843731,0,5,0
1582540381114,2845668,0,5,0
1582540381214,2846533,0,5,0
1582540381314,2846551,0,5,0
1582540381414,2845881,0,5,0
1582540381514,2844953,0,5,0
1582540381614,2844207,0,5,0
1582540381714,2844019,0,5,0
1582540381814,2843624,0,5,0
1582540381915,2843208,0,5,0
1582540382015,2843133,0,5,0
1582540382115,2842888,0,5,0
1582540382215,2842485,0,5,0
1582540382315,2842564,0,5,0
1582540382415,2842599,0,5,0
1582540382515,2842242,0,5,0
1582540382615,2841953,0,5,0
1582540382715,2842061,0,5,0
1582540382815,2842073,0,5,0
