timestamp,ppg,label,stage,hand
1582558178319,2693718,0,3,0
1582558178378,2692605,0,3,0
1582558178477,2692037,0,3,0
1582558178577,2692076,0,3,0
1582558178677,2692726,0,3,0
1582558178777,2693581,0,3,0
1582558178877,2694245,0,3,0
1582558178977,2695668,0,3,0
1582558179077,2694034,0,3,0
1582558179177,2690230,0,3,0
1582558179277,2685794,0,3,0
1582558179377,2680904,0,3,0
1582558179477,2676819,0,3,0
1582558179577,2674150,0,3,0
1582558179677,2671639,0,3,0
1582558179777,2668782,0,3,0
1582558179877,2666572,0,3,0
1582558179977,2664994,0,3,0
1582558180078,2672884,0,3,0
1582558180178,2677996,0,3,0
1582558180278,2685765,0,3,0
1582558180378,2685188,0,3,0
1582558180478,2684023,0,3,0
1582558180578,2682810,0,3,0
1582558180678,2685787,0,3,0
1582558180778,2688968,0,3,0
1582558180878,2687747,0,3,0
1582558180978,2688862,0,3,0
1582558181078,2697924,0,3,0
1582558181178,2704197,0,3,0
1582558181278,2707317,0,3,0
1582558181378,2707355,0,3,0
1582558181479,2710158,0,3,0
1582558181579,2711881,0,3,0
1582558181679,2713132,0,3,0
1582558181779,2712250,0,3,0
1582558181879,2710932,0,3,0
1582558181979,2710361,0,3,0
1582558182079,2710028,0,3,0
1582558182179,2710153,0,3,0
1582558182279,2709872,0,3,0
1582558182379,2708875,0,3,0
1582558182479,2708037,0,3,0
1582558182579,2707272,0,3,0
1582558182679,2705139,0,3,0
1582558182779,2705591,0,3,0
1582558182879,2705969,0,3,0
1582558182979,2705517,0,3,0
1582558183079,2705796,0,3,0
1582558183180,2705558,0,3,0
1582558183280,2704951,0,3,0
1582558183380,2703779,0,3,0
1582558183480,2702489,0,3,0
1582558183580,2701048,0,3,0
1582558183680,2700263,0,3,0
1582558183780,2699549,0,3,0
1582558183880,2699243,0,3,0
1582558183982,2699206,0,3,0
1582558184081,2699272,0,3,0
1582558184180,2699745,0,3,0
1582558184270,2699148,0,3,0
1582558184370,2698595,0,3,0
1582558184470,2697731,0,3,0
1582558184570,2697504,0,3,0
1582558184671,2699787,0,3,0
1582558184770,2699609,0,3,0
1582558184870,2696988,0,3,0
1582558184971,2694580,0,3,0
1582558185071,2699629,0,3,0
1582558185171,2704604,0,3,0
1582558185271,2706722,0,3,0
1582558185371,2707075,0,3,0
