timestamp,hrv,label,stage,hand
1582558179324,0.0,0,3,0
1582558180324,0.0,0,3,0
1582558181326,0.0,0,3,0
1582558182326,0.0,0,3,0
1582558183327,0.0,0,3,0
1582558184317,0.0,0,3,0
1582558185318,0.0,0,3,0
1582558186318,0.0,0,3,0
1582558187319,0.0,0,3,0
1582558188320,0.0,0,3,0
1582558189332,0.0,0,3,0
1582558190332,0.0,0,3,0
1582558191322,0.0,0,3,0
1582558192322,0.0,0,3,0
1582558193325,0.0,0,3,0
1582558194324,77.0,0,3,0
1582558195335,76.0,2,3,b
1582558196325,76.0,2,3,b
1582558197326,76.0,2,3,b
1582558198337,77.0,2,3,b
1582558199338,77.0,0,3,0
1582558200338,77.0,0,3,0
1582558201329,76.0,0,3,0
1582558202329,77.0,0,3,0
1582558203330,76.0,0,3,0
1582558204330,77.0,0,3,0
1582558205331,78.0,0,3,0
1582558206331,79.0,0,3,0
1582558207332,78.0,0,3,0
1582558208346,77.0,0,3,0
1582558209344,76.0,0,3,0
1582558210344,76.0,0,3,0
1582558211336,77.0,0,3,0
1582558212335,77.0,2,3,b
1582558213347,77.0,2,3,b
1582558214347,77.0,2,3,b
1582558215348,77.0,2,3,b
1582558216338,77.0,2,3,b
1582558217340,75.0,2,3,b
1582558218340,73.0,0,3,0
1582558219351,72.0,0,3,0
1582558220351,71.0,0,3,0
1582558221342,73.0,0,3,0
1582558222354,74.0,0,3,0
1582558223355,75.0,0,3,0
1582558224354,77.0,0,3,0
1582558225355,78.0,0,3,0
1582558226345,78.0,0,3,0
1582558227356,77.0,0,3,0
1582558228347,76.0,0,3,0
1582558229358,76.0,0,3,0
1582558230347,75.0,0,3,0
1582558231349,74.0,0,3,0
1582558232359,74.0,0,3,0
1582558233361,76.0,0,3,0
1582558234360,76.0,0,3,0
1582558235351,76.0,0,3,0
1582558236352,75.0,0,3,0
1582558237352,74.0,0,3,0
1582558238366,73.0,0,3,0
1582558239364,72.0,0,3,0
1582558240354,72.0,0,3,0
1582558241355,72.0,0,3,0
1582558242356,71.0,0,3,0
1582558243357,73.0,0,3,0
1582558244367,75.0,0,3,0
1582558245368,77.0,0,3,0
1582558246358,77.0,0,3,0
1582558247359,79.0,0,3,0
1582558248360,79.0,0,3,0
1582558249360,80.0,0,3,0
1582558250361,81.0,0,3,0
1582558251362,82.0,0,3,0
1582558252362,83.0,0,3,0
1582558253375,84.0,0,3,0
1582558254374,85.0,0,3,0
1582558255375,85.0,0,3,0
1582558256365,85.0,0,3,0
1582558257376,85.0,0,3,0
1582558258377,84.0,0,3,0
1582558259378,83.0,0,3,0
1582558260378,82.0,0,0,0
1582558261368,82.0,0,0,0
1582558262380,82.0,0,0,0
1582558263381,83.0,0,0,0
1582558264370,83.0,0,0,0
1582558265371,83.0,0,0,0
1582558266372,83.0,0,0,0
1582558267372,83.0,0,0,0
1582558268386,84.0,0,0,0
1582558269384,84.0,0,0,0
1582558270385,83.0,0,0,0
1582558271376,83.0,0,0,0
1582558272376,82.0,0,0,0
1582558273387,81.0,0,0,0
1582558274388,80.0,0,0,0
1582558275388,79.0,0,0,0
1582558276378,78.0,0,0,0
1582558277390,77.0,0,0,0
1582558278390,76.0,0,0,0
1582558279391,75.0,0,0,0
1582558280381,74.0,0,4,0
1582558281382,73.0,0,4,0
1582558282393,73.0,0,4,0
1582558283395,73.0,0,4,0
1582558284394,74.0,0,4,0
1582558285395,73.0,0,4,0
1582558286386,73.0,0,4,0
1582558287386,72.0,0,4,0
1582558288387,71.0,2,4,b
1582558289387,71.0,2,4,b
1582558290398,71.0,2,4,b
1582558291388,70.0,2,4,b
1582558292400,70.0,2,4,b
1582558293401,69.0,2,4,b
1582558294390,68.0,2,4,b
1582558295392,69.0,2,4,b
1582558296392,70.0,2,4,b
1582558297392,71.0,2,4,b
1582558298406,72.0,2,4,b
1582558299404,73.0,2,4,b
1582558300405,74.0,2,4,b
1582558301396,74.0,2,4,b
1582558302406,74.0,2,4,b
1582558303407,73.0,2,4,b
1582558304408,73.0,2,4,b
1582558305408,73.0,2,4,b
1582558306398,73.0,2,4,b
1582558307400,73.0,2,4,b
1582558308400,73.0,2,4,b
1582558309411,72.0,2,4,b
1582558310412,72.0,2,4,b
1582558311402,71.0,2,4,b
1582558312402,71.0,0,4,0
1582558313405,70.0,0,4,0
1582558314414,70.0,0,4,0
1582558315415,70.0,0,4,0
1582558316416,70.0,0,4,0
1582558317406,70.0,0,4,0
1582558318417,70.0,0,4,0
1582558319418,70.0,0,4,0
1582558320418,69.0,0,4,0
1582558321409,70.0,0,4,0
1582558322420,69.0,0,4,0
1582558323411,69.0,0,4,0
1582558324421,70.0,0,4,0
1582558325412,70.0,0,4,0
1582558326412,70.0,0,4,0
1582558327413,70.0,0,4,0
1582558328426,70.0,0,4,0
1582558329425,71.0,0,4,0
1582558330425,72.0,0,4,0
1582558331416,72.0,0,4,0
1582558332426,71.0,0,4,0
1582558333428,72.0,0,4,0
1582558334428,72.0,0,4,0
1582558335428,71.0,0,4,0
1582558336418,71.0,0,4,0
1582558337430,71.0,0,4,0
1582558338431,71.0,0,4,0
1582558339420,71.0,0,4,0
1582558340432,71.0,0,4,0
1582558341422,71.0,0,4,0
1582558342422,70.0,0,4,0
1582558343435,70.0,0,4,0
1582558344424,70.0,0,4,0
1582558345425,71.0,0,4,0
1582558346426,71.0,0,4,0
1582558347428,70.0,0,4,0
1582558348427,70.0,0,4,0
1582558349438,70.0,0,4,0
1582558350438,70.0,0,4,0
1582558351429,71.0,0,4,0
1582558352430,71.0,0,4,0
1582558353431,70.0,0,4,0
1582558354442,70.0,0,4,0
1582558355432,69.0,0,4,0
1582558356432,70.0,0,4,0
1582558357433,70.0,0,4,0
1582558358436,71.0,0,4,0
1582558359434,71.0,0,4,0
1582558360445,71.0,0,4,0
1582558361436,71.0,0,4,0
1582558362436,71.0,0,4,0
1582558363447,71.0,0,4,0
1582558364448,72.0,0,4,0
1582558365448,72.0,0,4,0
1582558366439,72.0,0,4,0
1582558367440,72.0,0,4,0
1582558368451,71.0,0,4,0
1582558369451,71.0,0,4,0
1582558370452,71.0,0,4,0
1582558371442,72.0,0,4,0
1582558372443,73.0,0,4,0
1582558373456,74.0,0,4,0
1582558374454,75.0,0,4,0
1582558375455,76.0,0,4,0
1582558376446,76.0,0,4,0
1582558377446,75.0,2,4,b
1582558378457,75.0,2,4,b
1582558379458,73.0,2,4,b
1582558380458,72.0,2,4,b
1582558381449,72.0,2,4,b
1582558382460,72.0,2,4,b
1582558383461,73.0,2,4,b
1582558384461,74.0,2,4,b
1582558385452,73.0,2,4,b
1582558386452,73.0,2,4,b
1582558387454,74.0,2,4,b
1582558388468,75.0,2,4,b
1582558389464,76.0,2,4,b
1582558390465,76.0,2,4,b
1582558391456,77.0,2,4,b
1582558392456,77.0,2,4,b
1582558393467,77.0,2,4,b
1582558394468,76.0,2,4,b
1582558395468,76.0,2,4,b
1582558396459,77.0,2,4,b
1582558397460,77.0,2,4,b
1582558398471,76.0,2,4,b
1582558399471,76.0,2,4,b
1582558400472,75.0,0,4,0
1582558401462,74.0,0,4,0
1582558402473,73.0,0,4,0
1582558403476,72.0,0,4,0
1582558404474,71.0,0,4,0
1582558405466,71.0,0,4,0
1582558406466,71.0,0,4,0
1582558407466,71.0,2,4,b
1582558408467,71.0,2,4,b
1582558409479,71.0,2,4,b
1582558410478,70.0,2,4,b
1582558411469,69.0,2,4,b
1582558412480,69.0,2,4,b
1582558413481,69.0,2,4,b
1582558414471,69.0,2,4,b
1582558415472,70.0,2,4,b
1582558416472,71.0,2,4,b
1582558417473,72.0,2,4,b
1582558418486,72.0,2,4,b
1582558419486,71.0,2,4,b
1582558420485,71.0,2,4,b
1582558421476,71.0,2,4,b
1582558422476,71.0,2,4,b
1582558423487,70.0,2,4,b
1582558424488,70.0,2,4,b
1582558425488,70.0,2,4,b
1582558426479,69.0,2,4,b
1582558427480,69.0,0,4,0
1582558428491,69.0,0,4,0
1582558429491,69.0,0,4,0
1582558430492,69.0,0,4,0
1582558431482,68.0,0,4,0
1582558432493,69.0,0,4,0
1582558433495,69.0,0,4,0
1582558434494,69.0,0,4,0
1582558435495,69.0,0,4,0
1582558436486,68.0,0,4,0
1582558437486,68.0,0,4,0
1582558438497,68.0,0,4,0
1582558439498,68.0,0,4,0
1582558440488,68.0,0,4,0
1582558441489,67.0,0,4,0
1582558442500,67.0,0,4,0
1582558443501,68.0,0,4,0
1582558444501,68.0,0,4,0
1582558445492,68.0,0,4,0
1582558446492,68.0,0,4,0
1582558447493,69.0,2,4,b
1582558448507,69.0,2,4,b
1582558449504,70.0,2,4,b
1582558450505,70.0,2,4,b
1582558451496,70.0,2,4,b
1582558452506,70.0,2,4,b
1582558453508,70.0,0,4,0
1582558454508,70.0,0,4,0
1582558455508,70.0,0,4,0
1582558456499,70.0,0,4,0
1582558457500,70.0,0,4,0
1582558458511,69.0,2,4,b
1582558459511,69.0,2,4,b
1582558460512,69.0,2,4,b
1582558461502,68.0,2,4,b
1582558462503,69.0,2,4,b
1582558463516,69.0,2,4,b
1582558464514,69.0,0,4,0
1582558465515,69.0,0,4,0
1582558466506,69.0,0,4,0
1582558467516,69.0,2,4,b
1582558468507,69.0,2,4,b
1582558469518,69.0,2,4,b
1582558470518,69.0,2,4,b
1582558471509,69.0,2,4,b
1582558472510,69.0,2,4,b
1582558473521,69.0,2,4,b
1582558474521,69.0,2,4,b
1582558475512,70.0,2,4,b
1582558476512,70.0,2,4,b
1582558477513,69.0,2,4,b
1582558478515,70.0,2,4,b
1582558479524,70.0,2,4,b
1582558480525,70.0,0,4,0
1582558481516,70.0,0,4,0
1582558482516,70.0,0,4,0
1582558483528,70.0,0,4,0
1582558484528,70.0,0,4,0
1582558485529,71.0,0,4,0
1582558486519,72.0,0,4,0
1582558487520,73.0,2,4,b
1582558488521,73.0,2,4,b
1582558489521,73.0,2,4,b
1582558490532,74.0,2,4,b
1582558491522,74.0,2,4,b
1582558492533,75.0,2,4,b
1582558493535,75.0,0,4,0
1582558494534,75.0,0,4,0
1582558495535,74.0,0,4,0
1582558496526,73.0,0,4,0
1582558497526,73.0,0,4,0
1582558498528,73.0,0,4,0
1582558499528,73.0,0,4,0
1582558500528,71.0,0,4,0
1582558501529,72.0,0,4,0
1582558502540,73.0,2,4,b
1582558503531,72.0,2,4,b
1582558504531,71.0,2,4,b
1582558505532,70.0,2,4,b
1582558506532,69.0,0,4,0
1582558507533,71.0,0,4,0
1582558508546,71.0,0,4,0
1582558509545,72.0,0,4,0
1582558510545,72.0,0,4,0
1582558511536,73.0,0,4,0
1582558512536,74.0,0,4,0
1582558513538,73.0,0,4,0
1582558514548,73.0,0,4,0
1582558515548,72.0,0,4,0
1582558516539,73.0,0,4,0
1582558517541,73.0,2,4,b
1582558518551,73.0,2,4,b
1582558519551,73.0,2,4,b
1582558520552,74.0,2,4,b
1582558521542,74.0,2,4,b
1582558522553,74.0,2,4,b
1582558523556,75.0,2,4,b
1582558524554,76.0,2,4,b
1582558525555,75.0,0,4,0
1582558526546,74.0,0,4,0
1582558527546,74.0,0,4,0
1582558528547,72.0,0,4,0
1582558529558,72.0,0,4,0
1582558530558,70.0,0,4,0
1582558531549,70.0,0,4,0
1582558532550,69.0,0,4,0
1582558533561,69.0,0,4,0
1582558534561,69.0,0,4,0
1582558535552,69.0,0,4,0
1582558536552,69.0,0,4,0
1582558537553,69.0,0,4,0
1582558538566,70.0,0,4,0
1582558539565,71.0,0,4,0
1582558540565,71.0,0,4,0
1582558541556,72.0,0,4,0
1582558542556,71.0,0,4,0
1582558543568,70.0,0,4,0
1582558544568,71.0,0,4,0
1582558545568,70.0,0,4,0
1582558546559,71.0,0,4,0
1582558547560,71.0,0,4,0
1582558548571,72.0,0,4,0
1582558549573,72.0,0,4,0
1582558550572,73.0,0,4,0
1582558551562,73.0,0,4,0
1582558552563,73.0,0,4,0
1582558553575,73.0,0,4,0
1582558554574,72.0,0,4,0
1582558555575,71.0,0,4,0
1582558556566,72.0,0,4,0
1582558557576,72.0,0,4,0
1582558558578,73.0,0,4,0
1582558559578,72.0,0,4,0
1582558560578,72.0,0,4,0
1582558561569,72.0,0,4,0
1582558562580,71.0,0,4,0
1582558563581,71.0,1,4,n
1582558564581,71.0,1,4,n
1582558565572,71.0,1,4,n
1582558566572,70.0,1,4,n
1582558567573,71.0,0,4,0
1582558568575,71.0,0,4,0
1582558569585,71.0,0,4,0
1582558570585,71.0,0,4,0
1582558571576,72.0,0,4,0
1582558572576,72.0,0,4,0
1582558573588,72.0,0,4,0
1582558574589,70.0,0,4,0
1582558575588,70.0,0,4,0
1582558576579,71.0,0,4,0
1582558577590,72.0,0,4,0
1582558578581,72.0,0,4,0
1582558579591,73.0,0,4,0
1582558580592,74.0,0,0,0
1582558581582,75.0,0,0,0
1582558582584,75.0,0,0,0
1582558583595,76.0,0,0,0
1582558584594,77.0,0,0,0
1582558585584,78.0,0,0,0
1582558586586,78.0,0,0,0
1582558587586,78.0,0,0,0
1582558588588,76.0,0,0,0
1582558589588,74.0,0,0,0
1582558590588,76.0,0,0,0
1582558591589,76.0,0,0,0
1582558592600,77.0,0,0,0
1582558593601,76.0,0,0,0
1582558594601,76.0,0,0,0
1582558595592,75.0,0,0,0
1582558596592,75.0,0,0,0
1582558597593,75.0,0,0,0
1582558598595,75.0,0,0,0
1582558599605,75.0,0,0,0
1582558600595,76.0,0,0,0
1582558601597,76.0,0,0,0
1582558602606,76.0,0,0,0
1582558603598,76.0,0,0,0
1582558604608,76.0,0,0,0
1582558605609,76.0,0,0,0
1582558606599,76.0,0,0,0
1582558607600,75.0,0,0,0
1582558608611,75.0,0,0,0
1582558609601,76.0,0,0,0
1582558610612,77.0,0,0,0
1582558611602,77.0,0,0,0
1582558612613,78.0,0,0,0
1582558613616,80.0,0,0,0
1582558614615,81.0,0,0,0
1582558615615,82.0,0,0,0
1582558616607,83.0,0,0,0
1582558617616,83.0,0,0,0
1582558618618,83.0,0,0,0
1582558619618,83.0,0,0,0
1582558620618,84.0,0,0,0
1582558621609,85.0,0,0,0
1582558622610,85.0,0,0,0
1582558623611,85.0,0,0,0
1582558624621,85.0,0,0,0
1582558625612,85.0,0,0,0
1582558626612,86.0,0,0,0
1582558627613,86.0,0,0,0
1582558628625,86.0,0,0,0
1582558629625,86.0,0,0,0
1582558630625,85.0,0,0,0
1582558631616,84.0,0,0,0
1582558632616,84.0,0,0,0
1582558633618,83.0,0,0,0
1582558634628,83.0,0,0,0
1582558635629,83.0,0,0,0
1582558636619,82.0,0,0,0
1582558637630,82.0,0,0,0
1582558638621,81.0,0,0,0
1582558639621,80.0,0,0,0
1582558640622,80.0,0,5,0
1582558641622,80.0,0,5,0
1582558642633,79.0,0,5,0
1582558643635,79.0,0,5,0
1582558644635,79.0,0,5,0
1582558645635,79.0,0,5,0
1582558646626,78.0,0,5,0
1582558647626,78.0,0,5,0
1582558648629,77.0,0,5,0
1582558649638,77.0,0,5,0
1582558650638,77.0,0,5,0
1582558651629,77.0,0,5,0
1582558652640,77.0,0,5,0
1582558653641,76.0,0,5,0
1582558654641,76.0,0,5,0
1582558655632,75.0,0,5,0
1582558656632,75.0,0,5,0
1582558657633,75.0,0,5,0
1582558658646,75.0,0,5,0
1582558659645,75.0,0,5,0
1582558660645,74.0,0,5,0
1582558661636,75.0,0,5,0
1582558662636,75.0,0,5,0
1582558663648,75.0,0,5,0
1582558664638,74.0,0,5,0
1582558665638,74.0,0,5,0
1582558666639,74.0,0,5,0
1582558667640,73.0,0,5,0
1582558668651,73.0,0,5,0
1582558669651,74.0,0,5,0
1582558670652,74.0,0,5,0
1582558671642,74.0,0,5,0
1582558672643,74.0,0,5,0
1582558673655,74.0,0,5,0
1582558674655,74.0,0,5,0
1582558675655,74.0,0,5,0
1582558676646,74.0,0,5,0
1582558677657,74.0,0,5,0
1582558678648,74.0,0,5,0
1582558679648,75.0,0,5,0
1582558680649,75.0,0,5,0
1582558681649,76.0,0,5,0
1582558682661,76.0,0,5,0
1582558683661,75.0,0,5,0
1582558684661,75.0,0,5,0
1582558685652,75.0,0,5,0
1582558686652,76.0,0,5,0
1582558687653,75.0,0,5,0
1582558688666,76.0,0,5,0
1582558689665,75.0,0,5,0
1582558690665,75.0,0,5,0
1582558691656,74.0,0,5,0
1582558692667,74.0,0,5,0
1582558693668,74.0,0,5,0
1582558694669,74.0,0,5,0
1582558695669,75.0,0,5,0
1582558696659,75.0,0,5,0
1582558697661,75.0,0,5,0
1582558698671,75.0,0,5,0
1582558699671,74.0,0,5,0
1582558700673,74.0,0,5,0
1582558701663,74.0,0,5,0
1582558702673,74.0,0,5,0
1582558703676,74.0,0,5,0
1582558704675,73.0,0,5,0
1582558705675,73.0,0,5,0
1582558706666,73.0,0,5,0
1582558707667,74.0,0,5,0
1582558708668,74.0,0,5,0
1582558709678,74.0,0,5,0
1582558710679,74.0,0,5,0
1582558711669,75.0,0,5,0
1582558712681,74.0,0,5,0
1582558713682,74.0,0,5,0
1582558714671,74.0,0,5,0
1582558715672,73.0,0,5,0
1582558716672,73.0,0,5,0
1582558717673,73.0,0,5,0
1582558718685,73.0,0,5,0
1582558719675,73.0,0,5,0
1582558720675,72.0,0,5,0
1582558721676,72.0,0,5,0
1582558722676,73.0,0,5,0
1582558723688,73.0,0,5,0
1582558724689,74.0,0,5,0
1582558725689,74.0,0,5,0
1582558726679,74.0,0,5,0
