timestamp,x,y,z,label,stage,hand
1582560600106,0.07,-0.07,0.07,0,0,0
1582560600206,0.07,-0.07,0.07,0,0,0
1582560600296,0.14,-0.07,0.07,0,0,0
1582560600407,0.07,-0.07,0.07,0,0,0
1582560600506,0.07,-0.07,0.07,0,0,0
1582560600606,0.07,-0.07,0.07,0,0,0
1582560600696,-0.07,-0.07,0.07,0,0,0
1582560600796,-0.07,-0.07,0.07,0,0,0
1582560600896,-0.07,-0.07,0.07,0,0,0
1582560600996,-0.07,-0.07,0.07,0,0,0
1582560601096,-0.07,-0.07,0.07,0,0,0
1582560601196,-0.07,-0.07,0.07,0,0,0
1582560601296,-0.07,-0.07,0.07,0,0,0
1582560601396,-0.07,-0.07,0.07,0,0,0
1582560601496,-0.07,-0.07,0.07,0,0,0
1582560601596,-0.07,-0.07,0.07,0,0,0
1582560601696,-0.07,-0.07,0.07,0,0,0
1582560601796,0.07,-0.07,0.07,0,0,0
1582560601896,0.07,-0.07,0.07,0,0,0
1582560601996,0.07,-0.07,0.07,0,0,0
1582560602097,0.07,-0.07,0.07,0,0,0
1582560602197,0.07,0.07,0.07,0,0,0
1582560602297,0.07,-0.07,0.07,0,0,0
1582560602408,0.07,-0.07,0.07,0,0,0
1582560602507,0.07,-0.07,0.07,0,0,0
1582560602607,0.07,-0.07,0.07,0,0,0
1582560602707,0.07,-0.07,0.07,0,0,0
1582560602807,0.07,-0.07,0.07,0,0,0
1582560602907,0.07,-0.07,0.07,0,0,0
1582560603007,0.07,-0.07,0.07,0,0,0
1582560603107,0.07,-0.07,0.07,0,0,0
1582560603208,0.07,-0.07,0.07,0,0,0
1582560603308,0.07,-0.07,0.07,0,0,0
1582560603407,0.07,-0.07,0.07,0,0,0
1582560603508,0.07,-0.07,0.07,0,0,0
1582560603608,0.07,-0.07,0.07,0,0,0
1582560603708,0.07,-0.07,0.07,0,0,0
1582560603808,0.07,-0.14,0.07,0,0,0
1582560603908,0.07,-0.14,0.07,0,0,0
1582560604009,0.07,-0.07,0.07,0,0,0
1582560604108,0.14,-0.07,0.07,0,0,0
1582560604208,0.07,-0.07,0.07,0,0,0
1582560604308,0.07,-0.07,0.07,0,0,0
1582560604408,0.07,-0.07,0.07,0,0,0
1582560604508,0.07,-0.07,0.07,0,0,0
1582560604608,0.14,-0.07,0.07,0,0,0
1582560604708,0.07,-0.07,0.07,0,0,0
1582560604808,0.07,-0.07,0.07,0,0,0
1582560604909,0.07,-0.07,0.07,0,0,0
1582560605009,0.07,-0.07,0.07,0,0,0
1582560605109,0.07,-0.07,0.07,0,0,0
1582560605199,0.07,-0.07,0.07,0,0,0
1582560605299,0.07,-0.07,0.07,0,0,0
1582560605399,0.07,-0.07,0.07,0,0,0
1582560605499,0.07,-0.07,0.07,0,0,0
1582560605599,0.14,-0.07,0.07,0,0,0
1582560605699,0.14,-0.07,0.07,0,0,0
1582560605799,0.07,-0.07,0.07,0,0,0
1582560605899,0.07,-0.14,0.07,0,0,0
1582560605999,0.07,-0.14,0.07,0,0,0
1582560606099,0.07,-0.07,0.07,0,0,0
1582560606199,0.07,-0.07,0.07,0,0,0
1582560606299,0.07,-0.07,0.07,0,0,0
1582560606399,0.07,-0.14,0.07,0,0,0
1582560606500,0.07,-0.07,0.07,0,0,0
1582560606600,0.07,-0.07,0.07,0,0,0
1582560606700,0.07,-0.07,0.07,0,0,0
1582560606800,0.07,-0.07,0.07,0,0,0
1582560606900,0.07,-0.07,0.07,0,0,0
1582560607000,0.07,-0.07,0.07,0,0,0
1582560607113,0.07,-0.07,0.07,0,0,0
1582560607200,0.07,-0.07,0.07,0,0,0
1582560607300,0.07,-0.07,0.07,0,0,0
1582560607400,0.07,-0.07,0.07,0,0,0
1582560607500,0.07,-0.14,0.07,0,0,0
1582560607600,0.07,-0.07,0.07,0,0,0
1582560607700,0.07,-0.07,0.07,0,0,0
1582560607800,0.07,-0.14,0.07,0,0,0
1582560607900,0.14,-0.14,0.07,0,0,0
1582560608000,0.07,-0.07,0.07,0,0,0
1582560608101,0.07,-0.07,0.07,0,0,0
1582560608201,0.07,-0.07,0.07,0,0,0
1582560608301,0.07,-0.07,0.07,0,0,0
1582560608402,0.07,-0.07,0.07,0,0,0
1582560608501,0.07,-0.07,0.07,0,0,0
1582560608601,0.07,-0.07,0.07,0,0,0
1582560608701,0.07,-0.07,0.07,0,0,0
1582560608801,0.07,-0.07,0.07,0,0,0
1582560608911,0.14,-0.14,0.07,0,0,0
1582560609011,0.07,-0.07,0.07,0,0,0
1582560609112,0.07,-0.07,0.07,0,0,0
1582560609211,0.07,-0.07,0.07,0,0,0
1582560609311,-0.07,-0.07,0.07,0,0,0
1582560609412,-0.07,-0.07,0.07,0,0,0
1582560609512,-0.07,-0.07,0.07,0,0,0
1582560609612,-0.07,-0.07,0.07,0,0,0
1582560609712,-0.07,-0.07,0.07,0,0,0
1582560609812,-0.07,-0.07,0.07,0,0,0
1582560609912,0.07,-0.14,0.07,0,0,0
1582560610012,0.07,-0.14,0.07,0,0,0
1582560610112,0.07,-0.07,0.07,0,0,0
1582560610212,0.07,-0.07,0.07,0,0,0
1582560610312,0.07,-0.14,0.07,0,0,0
1582560610412,0.07,-0.07,0.07,0,0,0
1582560610513,0.07,-0.07,0.07,0,0,0
1582560610612,0.07,-0.07,0.07,0,0,0
1582560610702,0.07,-0.07,0.07,0,0,0
1582560610802,0.07,-0.07,0.07,0,0,0
1582560610903,0.07,-0.14,0.07,0,0,0
1582560611002,0.07,-0.07,0.07,0,0,0
1582560611103,0.07,-0.21,0.07,0,0,0
1582560611203,0.07,-0.07,0.07,0,0,0
1582560611303,0.07,-0.07,0.07,0,0,0
1582560611403,0.07,-0.07,0.07,0,0,0
1582560611503,0.07,-0.07,0.07,0,0,0
1582560611603,0.07,-0.07,0.07,0,0,0
1582560611703,0.07,-0.07,0.07,0,0,0
1582560611803,0.07,-0.14,0.07,0,0,0
1582560611903,0.07,-0.07,0.07,0,0,0
1582560612003,0.07,-0.07,0.07,0,0,0
1582560612103,0.07,-0.07,0.07,0,0,0
1582560612203,0.14,-0.14,0.07,0,0,0
