timestamp,ppg,label,stage,hand
1582561778016,2637720,1,4,d
1582561778092,2638636,1,4,d
1582561778238,2640245,1,4,d
1582561778291,2641573,1,4,d
1582561778391,2643091,1,4,d
1582561778490,2644935,1,4,d
1582561778590,2646325,1,4,d
1582561778691,2647143,1,4,d
1582561778833,2647133,1,4,d
1582561778894,2647255,1,4,d
1582561778993,2647263,1,4,d
1582561779093,2646955,1,4,d
1582561779194,2645954,1,4,d
1582561779294,2645065,1,4,d
1582561779394,2644471,1,4,d
1582561779494,2642363,1,4,d
1582561779594,2640451,1,4,d
1582561779694,2639347,1,4,d
1582561779794,2638387,1,4,d
1582561779894,2637137,1,4,d
1582561779994,2636458,1,4,d
1582561780094,2635328,1,4,d
1582561780195,2632773,1,4,d
1582561780295,2630725,1,4,d
1582561780395,2629104,1,4,d
1582561780495,2627759,1,4,d
1582561780595,2626881,1,4,d
1582561780695,2626583,1,4,d
1582561780785,2626204,1,4,d
1582561780885,2626204,1,4,d
1582561780985,2625049,1,4,d
1582561781084,2623329,1,4,d
1582561781185,2622338,1,4,d
1582561781285,2621505,1,4,d
1582561781385,2621306,1,4,d
1582561781485,2621179,1,4,d
1582561781585,2621579,1,4,d
1582561781685,2621819,1,4,d
1582561781785,2622323,1,4,d
1582561781885,2621745,1,4,d
1582561781985,2620762,1,4,d
1582561782085,2620257,1,4,d
1582561782185,2619965,1,4,d
1582561782284,2619946,1,4,d
1582561782394,2620161,1,4,d
1582561782484,2620852,1,4,d
1582561782584,2621476,1,4,d
1582561782684,2622164,1,4,d
1582561782784,2622649,1,4,d
1582561782884,2621352,1,4,d
1582561782985,2620751,1,4,d
1582561783085,2620376,1,4,d
1582561783185,2620336,1,4,d
1582561783295,2620392,1,4,d
1582561783395,2620906,1,4,d
1582561783495,2621416,1,4,d
1582561783595,2622009,1,4,d
1582561783696,2622710,1,4,d
1582561783795,2622477,1,4,d
1582561783895,2621459,1,4,d
1582561783997,2621084,1,4,d
1582561784096,2620858,1,4,d
1582561784196,2620718,1,4,d
1582561784296,2621055,1,4,d
1582561784396,2621411,1,4,d
1582561784496,2621974,1,4,d
1582561784596,2622676,1,4,d
1582561784696,2623330,1,4,d
1582561784796,2622498,1,4,d
1582561784896,2621976,1,4,d
1582561784997,2621951,1,4,d
1582561785096,2621964,1,4,d
1582561785196,2622146,1,4,d
1582561785296,2622668,1,4,d
1582561785396,2623247,1,4,d
1582561785497,2623840,1,4,d
1582561785596,2623522,1,4,d
1582561785697,2622897,1,4,d
1582561785787,2622751,1,4,d
1582561785887,2622829,1,4,d
1582561785986,2622986,1,4,d
1582561786087,2623582,1,4,d
1582561786187,2624070,1,4,d
1582561786287,2624866,1,4,d
1582561786387,2624247,1,4,d
1582561786487,2623569,1,4,d
1582561786587,2623216,1,4,d
1582561786687,2623275,1,4,d
1582561786787,2623329,1,4,d
1582561786887,2623805,1,4,d
1582561786987,2624205,1,4,d
1582561787087,2624923,1,4,d
1582561787187,2625675,1,4,d
1582561787287,2625096,1,4,d
1582561787387,2624364,1,4,d
1582561787488,2623847,1,4,d
