timestamp,hrv,label,stage,hand
1582119674822,0.0,0,5,0
1582119675822,0.0,0,5,0
1582119676823,0.0,0,5,0
1582119677829,0.0,0,5,0
1582119678828,0.0,0,5,0
1582119679826,0.0,0,5,0
1582119680831,0.0,0,5,0
1582119681830,0.0,0,5,0
1582119682827,0.0,0,5,0
1582119683828,0.0,0,5,0
1582119684832,0.0,0,5,0
1582119685833,0.0,0,5,0
1582119686834,0.0,0,5,0
1582119687830,0.0,0,5,0
1582119688835,0.0,0,5,0
1582119689835,0.0,0,5,0
1582119690836,0.0,0,5,0
1582119691837,0.0,0,5,0
1582119692834,0.0,0,5,0
1582119693835,0.0,0,5,0
1582119694839,76.0,0,5,0
1582119695839,77.0,0,5,0
1582119696837,78.0,0,5,0
1582119697839,78.0,0,5,0
1582119698842,77.0,0,5,0
1582119699843,77.0,0,5,0
1582119700843,76.0,0,0,0
1582119701840,77.0,0,0,0
1582119702840,77.0,0,0,0
1582119703842,78.0,0,0,0
1582119704842,79.0,0,0,0
1582119705844,78.0,0,0,0
1582119706843,78.0,0,0,0
1582119707844,79.0,0,0,0
1582119708846,80.0,0,0,0
1582119709847,81.0,0,0,0
1582119710846,80.0,0,6,0
1582119711846,82.0,0,6,0
1582119712847,84.0,0,6,0
1582119713848,86.0,0,6,0
1582119714848,85.0,0,6,0
1582119715850,85.0,0,6,0
1582119716850,85.0,0,6,0
1582119717851,86.0,0,6,0
1582119718852,85.0,0,6,0
1582119719852,85.0,0,6,0
1582119720857,85.0,0,6,0
1582119721858,85.0,0,6,0
1582119722854,84.0,0,6,0
1582119723856,85.0,0,6,0
1582119724860,84.0,0,6,0
1582119725860,82.0,0,6,0
1582119726856,81.0,0,6,0
1582119727857,80.0,0,6,0
1582119728858,79.0,0,6,0
1582119729863,78.0,0,6,0
1582119730864,77.0,0,6,0
1582119731860,76.0,0,6,0
1582119732860,75.0,0,6,0
1582119733862,74.0,0,6,0
1582119734867,73.0,0,6,0
1582119735862,72.0,0,6,0
1582119736865,72.0,0,6,0
1582119737864,71.0,0,6,0
1582119738869,71.0,0,6,0
1582119739870,70.0,0,6,0
1582119740871,70.0,0,6,0
1582119741871,70.0,0,6,0
1582119742868,69.0,0,6,0
1582119743868,69.0,0,6,0
1582119744873,68.0,0,6,0
1582119745874,68.0,0,6,0
1582119746875,70.0,0,6,0
1582119747870,71.0,0,6,0
1582119748877,72.0,0,6,0
1582119749876,71.0,0,6,0
1582119750877,70.0,0,6,0
1582119751878,71.0,0,6,0
1582119752873,70.0,0,6,0
1582119753877,71.0,0,6,0
1582119754876,72.0,0,6,0
1582119755876,74.0,0,6,0
1582119756876,75.0,0,6,0
1582119757878,75.0,0,6,0
1582119758883,76.0,0,6,0
1582119759883,75.0,0,6,0
1582119760885,75.0,0,6,0
1582119761880,74.0,0,6,0
1582119762880,73.0,0,6,0
1582119763887,72.0,0,6,0
1582119764887,71.0,0,6,0
1582119765887,69.0,0,6,0
1582119766888,69.0,0,6,0
1582119767884,68.0,0,6,0
1582119768889,68.0,0,6,0
1582119769890,68.0,0,6,0
1582119770891,69.0,0,6,0
1582119771893,69.0,0,6,0
1582119772888,68.0,0,6,0
1582119773888,69.0,0,6,0
1582119774895,68.0,0,6,0
1582119775894,68.0,0,6,0
1582119776895,68.0,0,6,0
1582119777890,67.0,0,6,0
1582119778898,67.0,0,6,0
1582119779897,66.0,0,6,0
1582119780899,67.0,0,6,0
1582119781898,66.0,0,6,0
1582119782894,66.0,0,6,0
1582119783898,66.0,0,6,0
1582119784900,67.0,0,6,0
1582119785900,68.0,0,6,0
1582119786897,67.0,0,6,0
1582119787899,68.0,0,6,0
1582119788898,68.0,0,6,0
1582119789902,68.0,0,6,0
1582119790903,69.0,0,6,0
1582119791900,69.0,0,6,0
1582119792900,70.0,0,6,0
1582119793902,70.0,0,6,0
1582119794902,70.0,0,6,0
1582119795902,70.0,0,6,0
1582119796904,70.0,0,6,0
1582119797907,71.0,0,6,0
1582119798908,71.0,0,6,0
1582119799906,71.0,0,6,0
1582119800909,71.0,0,6,0
1582119801911,71.0,0,6,0
1582119802908,71.0,0,6,0
1582119803908,71.0,0,6,0
1582119804912,71.0,0,6,0
1582119805913,70.0,0,6,0
1582119806915,70.0,0,6,0
1582119807910,70.0,0,6,0
1582119808917,70.0,0,6,0
1582119809918,70.0,0,6,0
1582119810918,70.0,0,6,0
1582119811918,71.0,0,6,0
1582119812914,71.0,0,6,0
1582119813916,72.0,0,6,0
1582119814920,73.0,0,6,0
1582119815920,73.0,0,6,0
1582119816918,73.0,0,6,0
1582119817918,74.0,0,6,0
1582119818918,74.0,0,6,0
1582119819918,75.0,0,6,0
1582119820925,74.0,0,6,0
1582119821920,75.0,0,6,0
1582119822920,76.0,0,6,0
1582119823922,76.0,0,6,0
1582119824927,76.0,0,6,0
1582119825927,76.0,0,6,0
1582119826928,77.0,0,6,0
1582119827924,77.0,0,6,0
1582119828928,77.0,0,6,0
1582119829929,76.0,0,6,0
1582119830930,75.0,0,6,0
1582119831928,74.0,0,6,0
1582119832928,75.0,0,6,0
1582119833928,74.0,0,6,0
1582119834932,74.0,0,6,0
1582119835933,73.0,0,6,0
1582119836933,71.0,0,6,0
1582119837930,72.0,0,6,0
1582119838934,72.0,0,6,0
1582119839935,71.0,0,6,0
1582119840937,71.0,0,6,0
1582119841939,71.0,0,6,0
1582119842934,70.0,0,6,0
1582119843936,69.0,0,6,0
1582119844938,69.0,0,6,0
1582119845939,69.0,0,6,0
1582119846938,68.0,0,6,0
1582119847939,69.0,0,6,0
1582119848938,69.0,0,6,0
1582119849942,69.0,0,6,0
1582119850944,69.0,0,6,0
1582119851940,69.0,0,6,0
1582119852940,70.0,0,6,0
1582119853943,70.0,0,6,0
1582119854942,70.0,0,6,0
1582119855942,69.0,0,6,0
1582119856944,70.0,0,6,0
1582119857947,69.0,0,6,0
1582119858948,69.0,0,6,0
1582119859949,69.0,0,6,0
1582119860950,69.0,0,6,0
1582119861951,68.0,0,6,0
1582119862949,68.0,0,6,0
1582119863948,68.0,0,6,0
1582119864952,68.0,0,6,0
1582119865952,69.0,0,6,0
1582119866950,71.0,0,6,0
1582119867950,71.0,0,6,0
1582119868956,73.0,0,6,0
1582119869955,71.0,0,6,0
1582119870958,70.0,0,6,0
1582119871954,69.0,0,6,0
1582119872954,69.0,0,6,0
1582119873956,68.0,0,6,0
1582119874959,67.0,0,6,0
1582119875959,67.0,0,6,0
1582119876957,68.0,0,6,0
1582119877959,69.0,0,6,0
1582119878961,69.0,0,6,0
1582119879961,69.0,0,6,0
1582119880964,70.0,0,6,0
1582119881960,70.0,0,6,0
1582119882961,71.0,0,6,0
